일차,프레게1(초4),프레게2(초5),프레게3(초6)
220일차,[회의록] 반려동물 산책 예절을 주제로 한 토의 기록,[회의록] 학생 자치회 예산을 주제로 한 토의 기록,[회의록] 데이터 프라이버시를 주제로 한 토의 기록
221일차,[비문학] 열의 이동,[비문학] 논증 요소 찾기,[비문학] 종교와 세속화
222일차,[비문학] 조명과 분위기,[비문학] 지방 분권,[비문학] 가짜뉴스의 확산
223일차,[비문학] 3.1 운동의 의미,[비문학] 게임 배경음악,[비문학] 유체역학과 양력
224일차,[비문학] 물질의 상태 변화,[비문학] 미디어 리터러시,[비문학] 위성 인터넷
225일차,[비문학] 무용의 공간 사용,[비문학] 오류 있는 주장 고치기,[비문학] 오페라와 총체예술
226일차,[문학] 걸리버 여행기 4부: 결심과 실행,[문학] 노을빛 운동장,[문학] 괭이부리말 아이들 1부: 뜻밖의 시작
227일차,[문학] 걸리버 여행기 5부: 돌아보는 끝,[문학] 달빛 공책,[문학] 괭이부리말 아이들 2부: 새로운 만남
228일차,[문학] 사과 한 알의 여행,[문학] 이상한 나라의 앨리스 1부: 뜻밖의 시작,[문학] 괭이부리말 아이들 3부: 깊어지는 문제
229일차,[칼럼] 층간소음 배려를 둘러싼 서로 다른 생각,[칼럼] 지역 화폐 사용을 둘러싼 서로 다른 생각,[칼럼] 청소년 참정권을 둘러싼 서로 다른 생각
230일차,[논설문] 층간소음 배려에 대해 내 입장을 밝히는 글,[논설문] 지역 화폐 사용에 대해 내 입장을 밝히는 글,[논설문] 청소년 참정권에 대해 내 입장을 밝히는 글
231일차,[비문학] 식량 마일리지,[비문학] 사회 보장 제도,[비문학] 역사 서술과 관점
232일차,[비문학] 배경지식과 읽기,[비문학] 미세플라스틱,[비문학] 국제 난민 체제
233일차,[비문학] 광복과 정부 수립,[비문학] 사운드 디자인,[비문학] 프랙털
234일차,[비문학] 혼합물의 분리,[비문학] 팩트체크 산업,[비문학] 재사용 발사체
235일차,[비문학] 발레와 한국무용 비교,[비문학] 정의 내리기의 기준,[비문학] 타자의 윤리
236일차,[문학] 겨울 별자리,[문학] 이상한 나라의 앨리스 2부: 새로운 만남,[문학] 괭이부리말 아이들 4부: 결심과 실행
237일차,[문학] 바람이 전한 편지,[문학] 이상한 나라의 앨리스 3부: 깊어지는 문제,[문학] 괭이부리말 아이들 5부: 돌아보는 끝
238일차,[문학] 호수 위의 달,[문학] 이상한 나라의 앨리스 4부: 결심과 실행,[문학] 두꺼비
239일차,[건의문] 층간소음 배려 해결을 위한 제안,[건의문] 지역 화폐 사용 해결을 위한 제안,[건의문] 청소년 참정권 해결을 위한 제안
240일차,[회의록] 층간소음 배려를 주제로 한 토의 기록,[회의록] 지역 화폐 사용을 주제로 한 토의 기록,[회의록] 청소년 참정권을 주제로 한 토의 기록
241일차,[비문학] 유전자 가위의 기초,[비문학] 세금의 쓰임,[비문학] 공정무역
242일차,[비문학] 정보의 출처 확인,[비문학] 전염병 모델링,[비문학] 카오스 이론
243일차,[비문학] 시장 경제의 기본,[비문학] 주식회사와 주식 시장,[비문학] 최저임금과 노동시장
244일차,[비문학] 기체의 성질,[비문학] 탄소 배출권 시장,[비문학] 휴먼 컴퓨터 인터페이스
245일차,[비문학] 공공미술의 역할,[비문학] 재난 대응 앱,[비문학] 발레의 신체성
246일차,[문학] 해님 달님,[문학] 이상한 나라의 앨리스 5부: 돌아보는 끝,[문학] 해
247일차,[문학] 가을 손편지,[문학] 바람이 묻는 말,[문학] 산속에서
248일차,[문학] 우리 집 감나무,[문학] 밤하늘 우체국,[문학] 귀뚜라미
249일차,[칼럼] 우산 빗물 관리를 둘러싼 서로 다른 생각,[칼럼] 공유 킥보드 주차를 둘러싼 서로 다른 생각,[칼럼] 공공장소 얼굴인식을 둘러싼 서로 다른 생각
250일차,[논설문] 우산 빗물 관리에 대해 내 입장을 밝히는 글,[논설문] 공유 킥보드 주차에 대해 내 입장을 밝히는 글,[논설문] 공공장소 얼굴인식에 대해 내 입장을 밝히는 글
251일차,[비문학] 심해 탐사 장비,[비문학] 분류와 체계,[비문학] 자유와 결정론
252일차,[비문학] 매체 자료 비교,[비문학] 국제 무역 구조,[비문학] ESG 경영
253일차,[비문학] 달의 위상 변화,[비문학] 항생제 내성,[비문학] 유전자 발현
254일차,[비문학] 민화에 담긴 상징,[비문학] 뮤지컬 서사,[비문학] 증강현실 인터페이스
255일차,[비문학] 사군자의 선,[비문학] 공유 킥보드 규제,[비문학] 현대무용
256일차,[문학] 빨간 머리 앤 1부: 뜻밖의 시작,[문학] 나무의 대답,[문학] 달밤
257일차,[문학] 빨간 머리 앤 2부: 새로운 만남,[문학] 피노키오의 모험 1부: 뜻밖의 시작,[문학] 완득이 1부: 뜻밖의 시작
258일차,[문학] 빨간 머리 앤 3부: 깊어지는 문제,[문학] 피노키오의 모험 2부: 새로운 만남,[문학] 완득이 2부: 새로운 만남
259일차,[건의문] 우산 빗물 관리 해결을 위한 제안,[건의문] 공유 킥보드 주차 해결을 위한 제안,[건의문] 공공장소 얼굴인식 해결을 위한 제안
260일차,[회의록] 우산 빗물 관리를 주제로 한 토의 기록,[회의록] 공유 킥보드 주차를 주제로 한 토의 기록,[회의록] 공공장소 얼굴인식을 주제로 한 토의 기록
261일차,[비문학] 전통 건축의 비례,[비문학] FTA의 영향,[비문학] 미와 예술 판단
262일차,[비문학] 서체의 개성,[비문학] 배터리 원리,[비문학] 공유지의 비극
263일차,[비문학] 문화유산을 지키는 방법,[비문학] 브랜딩 기초,[비문학] 합성생물학
264일차,[비문학] 세종과 훈민정음,[비문학] 온라인 게임 셧다운,[비문학] 메타버스 플랫폼
265일차,[비문학] 한지의 쓰임,[비문학] 여러 정보 결합,[비문학] 기술과 인간성
266일차,[문학] 빨간 머리 앤 4부: 결심과 실행,[문학] 피노키오의 모험 3부: 깊어지는 문제,[문학] 완득이 3부: 깊어지는 문제
267일차,[문학] 빨간 머리 앤 5부: 돌아보는 끝,[문학] 피노키오의 모험 4부: 결심과 실행,[문학] 완득이 4부: 결심과 실행
268일차,[문학] 우리 동네 한 바퀴,[문학] 피노키오의 모험 5부: 돌아보는 끝,[문학] 완득이 5부: 돌아보는 끝
269일차,[칼럼] 분리배출 정확히 하기를 둘러싼 서로 다른 생각,[칼럼] 온라인 게임 이용 시간을 둘러싼 서로 다른 생각,[칼럼] 생성형 AI의 교육 활용을 둘러싼 서로 다른 생각
270일차,[논설문] 분리배출 정확히 하기에 대해 내 입장을 밝히는 글,[논설문] 온라인 게임 이용 시간에 대해 내 입장을 밝히는 글,[논설문] 생성형 AI의 교육 활용에 대해 내 입장을 밝히는 글
271일차,[비문학] 전통 놀이의 과학,[비문학] 난민 문제,[비문학] 형사법의 인과 관계
272일차,[비문학] 독서 감상문의 근거,[비문학] 한국 단청,[비문학] 단백질 접힘
273일차,[비문학] 박물관 전시 기획,[비문학] 전통춤과 공동체,[비문학] 국악의 즉흥성
274일차,[비문학] 도서관 분류법,[비문학] 자율주행 센서,[비문학] 뇌 컴퓨터 인터페이스
275일차,[비문학] 국악과 서양 음악 비교,[비문학] 편집 디자인,[비문학] 문화재 복원 윤리
276일차,[문학] 보물섬 1부: 뜻밖의 시작,[문학] 운동화 한 켤레,[문학] 배를 매며
277일차,[문학] 보물섬 2부: 새로운 만남,[문학] 그림자 수집가,[문학] 홍길동전 1부: 뜻밖의 시작
278일차,[문학] 보물섬 3부: 깊어지는 문제,[문학] 작은 섬의 노래,[문학] 홍길동전 2부: 새로운 만남
279일차,[건의문] 분리배출 정확히 하기 해결을 위한 제안,[건의문] 온라인 게임 이용 시간 해결을 위한 제안,[건의문] 생성형 AI의 교육 활용 해결을 위한 제안
280일차,[회의록] 분리배출 정확히 하기를 주제로 한 토의 기록,[회의록] 온라인 게임 이용 시간을 주제로 한 토의 기록,[회의록] 생성형 AI의 교육 활용을 주제로 한 토의 기록
281일차,[비문학] 문장 성분의 기본,[비문학] 청소년 노동 인권,[비문학] 동양의 중용 사상
282일차,[비문학] 세계 문화의 다양성,[비문학] 인물 관점 전환,[비문학] 법 실증주의와 자연법
283일차,[비문학] 일식과 월식,[비문학] 노동과 자동화,[비문학] 뇌의 가소성
284일차,[비문학] 조각의 재료와 질감,[비문학] 드론 활용,[비문학] 얼굴인식과 윤리
285일차,[비문학] 스포츠 과학,[비문학] 건축 유산 보존,[비문학] 타이포그래피
286일차,[문학] 보물섬 4부: 결심과 실행,[문학] 비밀 쪽지,[문학] 홍길동전 3부: 깊어지는 문제
287일차,[문학] 보물섬 5부: 돌아보는 끝,[문학] 오래된 골목,[문학] 홍길동전 4부: 결심과 실행
288일차,[문학] 책 읽는 고양이,[문학] 파란 대문 집,[문학] 홍길동전 5부: 돌아보는 끝
289일차,[칼럼] 체험학습 모둠 편성을 둘러싼 서로 다른 생각,[칼럼] 급식 알레르기 표시를 둘러싼 서로 다른 생각,[칼럼] 지역 소멸 대응을 둘러싼 서로 다른 생각
290일차,[논설문] 체험학습 모둠 편성에 대해 내 입장을 밝히는 글,[논설문] 급식 알레르기 표시에 대해 내 입장을 밝히는 글,[논설문] 지역 소멸 대응에 대해 내 입장을 밝히는 글
291일차,[비문학] 피동 표현 이해,[비문학] 지역 화폐,[비문학] 법과 도덕의 관계
292일차,[비문학] 국제기구의 역할,[비문학] 사건 재구성,[비문학] 재생에너지 전환
293일차,[비문학] 기상 관측 도구,[비문학] 도시 재생,[비문학] 기억 공고화
294일차,[비문학] 건축과 생활 동선,[비문학] 생체 모방 로봇,[비문학] 데이터센터 전력
295일차,[비문학] 책이 만들어지는 과정,[비문학] 예술 후원,[비문학] 색채 이론
296일차,[문학] 피노키오의 모험 1부: 뜻밖의 시작,[문학] 소년과 등대,[문학] 갈대
297일차,[문학] 피노키오의 모험 2부: 새로운 만남,[문학] 홍길동전 1부: 뜻밖의 시작,[문학] 벽
298일차,[문학] 피노키오의 모험 3부: 깊어지는 문제,[문학] 홍길동전 2부: 새로운 만남,[문학] 낡은 집
299일차,[건의문] 체험학습 모둠 편성 해결을 위한 제안,[건의문] 급식 알레르기 표시 해결을 위한 제안,[건의문] 지역 소멸 대응 해결을 위한 제안
300일차,[회의록] 체험학습 모둠 편성을 주제로 한 토의 기록,[회의록] 급식 알레르기 표시를 주제로 한 토의 기록,[회의록] 지역 소멸 대응을 주제로 한 토의 기록
301일차,[비문학] 목적에 맞는 글쓰기,[비문학] 논지 전개 방식,[비문학] 상징과 신화 해석
302일차,[비문학] 공정무역의 의미,[비문학] 보고서의 구성,[비문학] 광합성 전자전달
303일차,[비문학] 색채 심리,[비문학] 토론 입론서 읽기,[비문학] 해저 케이블
304일차,[비문학] 핵심어로 요약하기,[비문학] 토론 반론서 읽기,[비문학] 사운드스케이프
305일차,[비문학] 토의 규칙 이해하기,[비문학] 문제 해결 글쓰기,[비문학] 공동체주의와 개인주의
306일차,[문학] 피노키오의 모험 4부: 결심과 실행,[문학] 홍길동전 3부: 깊어지는 문제,[문학] 모란이 피기까지는
307일차,[문학] 피노키오의 모험 5부: 돌아보는 끝,[문학] 홍길동전 4부: 결심과 실행,[문학] 박씨전 1부: 뜻밖의 시작
308일차,[문학] 새 신을 신고,[문학] 홍길동전 5부: 돌아보는 끝,[문학] 박씨전 2부: 새로운 만남
309일차,[칼럼] 놀이터 안전수칙을 둘러싼 서로 다른 생각,[칼럼] 교복 재활용을 둘러싼 서로 다른 생각,[칼럼] 난민 수용을 둘러싼 서로 다른 생각
310일차,[논설문] 놀이터 안전수칙에 대해 내 입장을 밝히는 글,[논설문] 교복 재활용에 대해 내 입장을 밝히는 글,[논설문] 난민 수용에 대해 내 입장을 밝히는 글
311일차,[비문학] 발표문의 구조,[비문학] 연설과 토론,[비문학] 문화산업과 저작권
312일차,[비문학] 자료를 모아 보고서 쓰기,[비문학] 핵심 논지 요약,[비문학] 생태계의 복원력
313일차,[비문학] 독자의 질문 정리,[비문학] 비판적 읽기 습관,[비문학] 광고 이미지의 수사
314일차,[비문학] 듣기 자료 정리하기,[비문학] 탐구 발표문 구성,[비문학] 인권의 보편성
315일차,[비문학] 지역 문제 해결 회의,[비문학] 독자의 질문 설계,[비문학] 저출생 정책
316일차,[문학] 작은 연못,[문학] 키다리 아저씨 1부: 뜻밖의 시작,[문학] 박씨전 3부: 깊어지는 문제
317일차,[문학] 어린 왕자 1부: 뜻밖의 시작,[문학] 키다리 아저씨 2부: 새로운 만남,[문학] 박씨전 4부: 결심과 실행
318일차,[문학] 어린 왕자 2부: 새로운 만남,[문학] 키다리 아저씨 3부: 깊어지는 문제,[문학] 박씨전 5부: 돌아보는 끝
319일차,[건의문] 놀이터 안전수칙 해결을 위한 제안,[건의문] 교복 재활용 해결을 위한 제안,[건의문] 난민 수용 해결을 위한 제안
320일차,[회의록] 놀이터 안전수칙을 주제로 한 토의 기록,[회의록] 교복 재활용을 주제로 한 토의 기록,[회의록] 난민 수용을 주제로 한 토의 기록
321일차,[비문학] 재난 문자 시스템,[비문학] 플랫폼 경제,[비문학] 신경전달물질
322일차,[비문학] 설명하는 글의 짜임,[비문학] 3D 프린팅,[비문학] 디지털 포렌식
323일차,[비문학] 지역 축제와 경제,[비문학] 작가의 시선,[비문학] K팝 프로듀싱
324일차,[비문학] 지구 온난화,[비문학] 물 전쟁,[비문학] 시민 불복종의 정당성
325일차,[비문학] 생활 속 디자인,[비문학] 사례와 일반화,[비문학] 청년 실업
326일차,[문학] 어린 왕자 3부: 깊어지는 문제,[문학] 키다리 아저씨 4부: 결심과 실행,[문학] 돌담에 속삭이는 햇발
327일차,[문학] 어린 왕자 4부: 결심과 실행,[문학] 키다리 아저씨 5부: 돌아보는 끝,[문학] 수라
328일차,[문학] 어린 왕자 5부: 돌아보는 끝,[문학] 새벽을 깨우는 새,[문학] 우상의 눈물
329일차,[칼럼] 실내화 정리 습관을 둘러싼 서로 다른 생각,[칼럼] 진로체험 선택권을 둘러싼 서로 다른 생각,[칼럼] 기후 소송을 둘러싼 서로 다른 생각
330일차,[논설문] 실내화 정리 습관에 대해 내 입장을 밝히는 글,[논설문] 진로체험 선택권에 대해 내 입장을 밝히는 글,[논설문] 기후 소송에 대해 내 입장을 밝히는 글
331일차,[비문학] 비유 표현의 역할,[비문학] 공정경쟁 정책,[비문학] 적응과 자연선택
332일차,[비문학] 다문화 사회의 이해,[비문학] 증강현실,[비문학] 오픈소스 생태계
333일차,[비문학] 생물 분류의 기준,[비문학] 창작 윤리,[비문학] 아리스토텔레스의 행복론
334일차,[비문학] 악보 읽기 기초,[비문학] 백신 특허,[비문학] 도시 젠트리피케이션
335일차,[비문학] 리코더 합주의 조화,[비문학] 가상현실,[비문학] 팬덤 문화
336일차,[문학] 눈 내리는 마을,[문학] 연필 끝의 별,[문학] 동짓달 기나긴 밤을
337일차,[문학] 징검다리,[문학] 바다를 듣는 의자,[문학] 행복
338일차,[문학] 나뭇잎 배,[문학] 시계의 비밀,[문학] 까치밥
339일차,[건의문] 실내화 정리 습관 해결을 위한 제안,[건의문] 진로체험 선택권 해결을 위한 제안,[건의문] 기후 소송 해결을 위한 제안
340일차,[회의록] 실내화 정리 습관을 주제로 한 토의 기록,[회의록] 진로체험 선택권을 주제로 한 토의 기록,[회의록] 기후 소송을 주제로 한 토의 기록
341일차,[비문학] 지문 인식 보안,[비문학] 예술과 검열,[비문학] 교육과 교양의 의미
342일차,[비문학] 인터넷 예절과 권리,[비문학] 농업과 기후 기술,[비문학] 금융 위기와 규제
343일차,[비문학] 백신의 원리,[비문학] 정보 윤리,[비문학] 미생물 군집
344일차,[비문학] 항공 관제의 일,[비문학] 공유경제의 약속,[비문학] 플랫폼 API
345일차,[비문학] 기사문과 기록문 구분,[비문학] 추천 알고리즘,[비문학] 미디어아트 인터랙션
346일차,[문학] 고드름 편지,[문학] 강물은 왜 돌아오나,[문학] 허생전 1부: 뜻밖의 시작
347일차,[문학] 숲속 음악회,[문학] 들판의 약속,[문학] 허생전 2부: 새로운 만남
348일차,[문학] 바람개비 언덕,[문학] 장화홍련전,[문학] 허생전 3부: 깊어지는 문제
349일차,[칼럼] 교내 텃밭 가꾸기를 둘러싼 서로 다른 생각,[칼럼] 지역 축제 소음 조절을 둘러싼 서로 다른 생각,[칼럼] 스포츠 공정성을 둘러싼 서로 다른 생각
350일차,[논설문] 교내 텃밭 가꾸기에 대해 내 입장을 밝히는 글,[논설문] 지역 축제 소음 조절에 대해 내 입장을 밝히는 글,[논설문] 스포츠 공정성에 대해 내 입장을 밝히는 글
351일차,[비문학] 인권 감수성,[비문학] 지역 문화 축제,[비문학] 노동과 소외
352일차,[비문학] 로봇 센서의 역할,[비문학] 해양 보호 구역,[비문학] 사회 이동성
353일차,[비문학] 예술가의 작업 노트,[비문학] 데이터 시각화 읽기,[비문학] 바이러스 변이
354일차,[비문학] 고래와 해양 소음,[비문학] 지역 불균형,[비문학] 무인매장 기술
355일차,[비문학] 에너지 절약 기술,[비문학] 스마트팜,[비문학] 연극의 무대언어
356일차,[문학] 햇살과 그림자,[문학] 허생전,[문학] 허생전 4부: 결심과 실행
357일차,[문학] 엄마야 누나야,[문학] 박씨전,[문학] 허생전 5부: 돌아보는 끝
358일차,[문학] 별,[문학] 장끼전,[문학] 길
359일차,[건의문] 교내 텃밭 가꾸기 해결을 위한 제안,[건의문] 지역 축제 소음 조절 해결을 위한 제안,[건의문] 스포츠 공정성 해결을 위한 제안
360일차,[회의록] 교내 텃밭 가꾸기를 주제로 한 토의 기록,[회의록] 지역 축제 소음 조절을 주제로 한 토의 기록,[회의록] 스포츠 공정성을 주제로 한 토의 기록
361일차,[비문학] 미디어아트의 움직임,[비문학] 예술교육의 가치,[비문학] 공감과 도덕 감정
362일차,[비문학] 생물 모방 기술,[비문학] 스포츠와 공정성,[비문학] 지역 소멸과 균형 발전
363일차,[비문학] 추론하며 읽기,[비문학] 공론장과 시민 참여,[비문학] 기후 피드백
364일차,[비문학] 미디어와 시민 생활,[비문학] 시각 문화 읽기,[비문학] 스마트시티 운영
365일차,[비문학] 유전의 기초,[비문학] 디지털 화폐,[비문학] 예술 검열 논쟁
